22	12	10	3 1 7 5 0 2 6 4 
21	13	8	3 1 7 5 2 0 6 4 
22	8	14	1 7 0 3 5 4 2 6 
19	9	10	1 7 2 3 5 4 0 6 
18	10	8	1 7 2 3 5 4 6 0 
21	9	12	1 7 3 0 5 4 2 6 
20	12	8	1 7 3 2 5 4 0 6 
19	13	6	1 7 3 2 5 4 6 0 
20	10	10	1 7 3 6 5 4 2 0 
22	8	14	1 4 7 3 5 0 2 6 
21	9	12	1 4 7 3 5 2 0 6 
20	10	10	1 4 7 3 5 2 6 0 
22	14	8	3 1 7 5 2 6 0 4 
21	15	6	3 1 7 5 2 6 4 0 
22	10	12	1 7 2 3 5 0 4 6 
22	12	10	1 7 3 5 0 4 2 6 
22	8	14	3 1 7 4 6 5 0 2 
21	9	12	3 1 7 4 6 5 2 0 
22	14	8	1 7 3 5 6 4 2 0 
22	10	12	5 1 7 3 6 4 0 2 
22	6	16	3 1 0 7 6 5 4 2 
21	7	14	3 1 4 7 6 5 0 2 
20	8	12	3 1 4 7 6 5 2 0 
22	8	14	3 1 7 2 6 0 5 4 
22	6	16	3 1 7 6 4 0 2 5 
21	7	14	3 1 7 6 4 2 0 5 
20	8	12	3 1 7 6 4 2 5 0 
22	12	10	3 5 1 7 6 2 0 4 
22	8	14	3 1 6 7 5 0 4 2 
22	10	12	3 1 0 7 5 4 6 2 
22	8	14	0 3 1 7 2 5 4 6 
19	11	8	5 3 1 7 2 0 4 6 
18	12	6	5 3 1 7 2 4 0 6 
17	13	4	5 3 1 7 2 4 6 0 
22	12	10	5 3 1 7 0 2 4 6 
22	14	8	5 3 1 7 6 2 4 0 
23	11	12	3 1 7 5 6 0 4 2 
23	9	14	2 3 1 7 0 5 4 6 
22	10	12	2 3 1 7 5 0 4 6 
21	11	10	2 3 1 7 5 4 0 6 
20	12	8	2 3 1 7 5 4 6 0 
23	13	10	5 3 1 7 0 2 6 4 
22	14	8	5 3 1 7 2 0 6 4 
23	9	14	3 1 0 2 5 4 6 7 
23	11	12	2 3 1 7 6 5 4 0 
23	15	8	5 3 1 7 2 6 0 4 
22	16	6	5 3 1 7 2 6 4 0 
23	1	22	0 3 7 6 5 1 4 2 
16	4	12	1 3 7 6 5 0 4 2 
15	5	10	1 3 7 6 5 4 0 2 
14	6	8	1 3 7 6 5 4 2 0 
17	7	10	1 3 7 0 5 4 2 6 
16	10	6	1 3 7 2 5 4 0 6 
15	11	4	1 3 7 2 5 4 6 0 
18	10	8	1 3 7 5 0 4 2 6 
18	8	10	1 3 0 7 5 4 2 6 
15	9	6	1 3 2 7 5 4 0 6 
14	10	4	1 3 2 7 5 4 6 0 
18	12	6	1 3 7 5 6 4 2 0 
18	10	8	1 3 2 7 5 0 4 6 
19	5	14	1 3 7 6 0 5 4 2 
15	7	8	1 3 7 6 2 5 4 0 
18	8	10	1 3 7 6 2 5 0 4 
18	8	10	1 3 7 0 2 5 4 6 
19	11	8	1 3 7 2 5 0 4 6 
19	11	8	1 3 7 5 4 0 2 6 
18	12	6	1 3 7 5 4 2 0 6 
17	13	4	1 3 7 5 4 2 6 0 
19	11	8	1 3 7 4 2 5 0 6 
18	12	6	1 3 7 4 2 5 6 0 
19	9	10	1 3 0 7 2 5 4 6 
18	10	8	1 3 4 7 2 5 0 6 
17	11	6	1 3 4 7 2 5 6 0 
20	4	16	2 3 7 6 5 1 4 0 
20	2	18	5 3 7 6 0 1 4 2 
16	4	12	5 3 7 6 2 1 4 0 
19	3	16	5 3 7 6 1 0 4 2 
18	4	14	5 3 7 6 1 4 0 2 
17	5	12	5 3 7 6 1 4 2 0 
19	5	14	5 3 7 6 2 1 0 4 
19	5	14	5 3 7 0 2 1 4 6 
20	6	14	5 3 7 0 1 4 2 6 
19	9	10	5 3 7 2 1 4 0 6 
18	10	8	5 3 7 2 1 4 6 0 
20	8	12	5 3 7 4 2 1 0 6 
19	9	10	5 3 7 4 2 1 6 0 
20	6	14	5 3 0 7 2 1 4 6 
19	7	12	5 3 4 7 2 1 0 6 
18	8	10	5 3 4 7 2 1 6 0 
21	9	12	1 3 7 6 2 0 5 4 
21	9	12	5 3 7 1 0 4 2 6 
21	7	14	5 3 0 7 1 4 2 6 
18	8	10	5 3 2 7 1 4 0 6 
17	9	8	5 3 2 7 1 4 6 0 
21	11	10	1 3 7 2 0 5 4 6 
21	11	10	5 3 7 1 6 4 2 0 
21	9	12	5 3 2 7 1 0 4 6 
21	13	8	1 3 7 2 6 5 4 0 
21	11	10	1 3 4 7 2 0 5 6 
21	11	10	1 3 2 0 5 4 6 7 
21	13	8	1 3 7 5 6 4 0 2 
21	11	10	1 3 2 7 0 5 4 6 
21	9	12	1 0 3 7 5 4 2 6 
21	13	8	1 3 2 7 6 5 4 0 
22	6	16	5 3 7 6 2 0 1 4 
22	14	8	1 3 2 6 5 4 0 7 
21	15	6	1 3 2 6 5 4 7 0 
22	10	12	1 4 3 7 5 0 2 6 
21	11	10	1 4 3 7 5 2 0 6 
20	12	8	1 4 3 7 5 2 6 0 
22	8	14	5 3 4 7 2 0 1 6 
22	10	12	5 3 7 1 4 0 2 6 
21	11	10	5 3 7 1 4 2 0 6 
20	12	8	5 3 7 1 4 2 6 0 
22	10	12	5 3 7 2 1 0 4 6 
22	8	14	5 3 7 2 0 1 4 6 
21	9	12	5 3 7 2 1 0 4 6 
22	10	12	1 0 3 7 2 5 4 6 
17	11	6	1 5 3 7 2 0 4 6 
16	12	4	1 5 3 7 2 4 0 6 
15	13	2	1 5 3 7 2 4 6 0 
20	12	8	1 5 3 7 0 2 4 6 
20	14	6	1 5 3 7 6 2 4 0 
22	10	12	5 3 7 2 6 1 4 0 
22	12	10	1 3 7 4 2 0 5 6 
22	8	14	1 3 7 0 6 5 4 2 
17	9	8	1 3 7 2 6 5 4 0 
20	10	10	1 3 7 2 6 5 0 4 
19	11	8	1 3 7 2 6 5 4 0 
22	12	10	1 3 2 7 0 4 6 5 
22	12	10	1 3 7 0 5 4 6 2 
22	6	16	1 3 0 6 5 4 7 2 
22	8	14	1 3 7 6 0 4 2 5 
23	11	12	3 1 0 7 2 5 6 4 
23	9	14	7 3 1 0 5 4 2 6 
22	12	10	7 3 1 2 5 4 0 6 
21	13	8	7 3 1 2 5 4 6 0 
22	10	12	7 3 1 6 5 4 2 0 
23	7	16	1 3 6 0 5 4 7 2 
16	8	8	1 3 6 2 5 4 7 0 
19	9	10	1 3 6 2 5 4 0 7 
20	10	10	1 3 6 7 5 4 0 2 
19	11	8	1 3 6 7 5 4 2 0 
21	11	10	1 3 0 7 5 4 6 2 
22	10	12	1 3 6 2 5 0 4 7 
22	10	12	1 3 0 2 5 4 6 7 
23	7	16	1 0 3 6 5 4 7 2 
20	8	12	1 4 3 6 5 0 7 2 
21	9	12	1 4 3 6 5 7 0 2 
20	10	10	1 4 3 6 5 7 2 0 
23	9	14	1 3 7 6 4 0 2 5 
22	10	12	1 3 7 6 4 2 0 5 
21	11	10	1 3 7 6 4 2 5 0 
23	13	10	1 7 3 5 4 0 2 6 
22	14	8	1 7 3 5 4 2 0 6 
21	15	6	1 7 3 5 4 2 6 0 
23	11	12	1 3 6 7 5 0 4 2 
23	11	12	1 0 3 2 5 4 6 7 
20	12	8	1 4 3 2 5 0 6 7 
19	13	6	1 4 3 2 5 6 0 7 
18	14	4	1 4 3 2 5 6 7 0 
23	9	14	1 4 3 6 0 5 7 2 
19	11	8	1 4 3 6 2 5 7 0 
22	12	10	1 4 3 6 2 5 0 7 
23	15	8	1 5 3 7 6 2 0 4 
23	13	10	1 4 3 2 0 5 6 7 
23	11	12	1 3 7 2 6 0 5 4 
23	13	10	1 3 2 7 4 0 6 5 
23	15	8	1 4 3 2 7 5 6 0 
23	15	8	1 3 7 5 0 4 6 2 
19	17	2	1 3 7 5 2 4 6 0 
22	18	4	1 3 7 5 2 4 0 6 
23	9	14	1 3 0 7 6 5 4 2 
22	10	12	1 3 4 7 6 5 0 2 
21	11	10	1 3 4 7 6 5 2 0 
23	11	12	1 3 7 4 6 5 0 2 
22	12	10	1 3 7 4 6 5 2 0 
23	9	14	3 1 4 7 0 2 5 6 
23	9	14	3 1 7 2 0 6 5 4 
21	11	10	3 1 7 2 4 6 5 0 
23	11	12	5 3 1 0 7 4 2 6 
22	14	8	5 3 1 2 7 4 0 6 
21	15	6	5 3 1 2 7 4 6 0 
22	12	10	5 3 1 6 7 4 2 0 
23	11	12	3 1 4 7 6 2 5 0 
23	15	8	1 5 3 7 0 4 6 2 
23	9	14	3 1 4 0 2 5 6 7 
23	11	12	6 3 1 7 2 5 4 0 
23	9	14	3 1 7 0 4 2 5 6 
23	11	12	3 1 2 7 4 6 0 5 
22	12	10	3 1 2 7 4 6 5 0 
23	11	12	3 1 2 5 0 4 6 7 
19	13	6	3 1 2 5 7 4 6 0 
22	12	10	3 1 2 5 4 0 6 7 
21	13	8	3 1 2 5 4 6 0 7 
20	14	6	3 1 2 5 4 6 7 0 
22	14	8	3 1 2 5 7 4 0 6 
23	9	14	3 1 0 4 2 5 7 6 
23	7	16	0 3 7 5 2 1 4 6 
16	10	6	1 3 7 5 2 0 4 6 
15	11	4	1 3 7 5 2 4 0 6 
14	12	2	1 3 7 5 2 4 6 0 
17	13	4	1 3 7 5 2 4 0 6 
16	14	2	1 3 7 5 2 4 6 0 
19	11	8	1 3 7 5 0 2 4 6 
19	15	4	1 3 7 5 2 4 0 6 
18	16	2	1 3 7 5 2 4 6 0 
19	13	6	1 3 7 5 6 2 4 0 
21	17	4	1 3 7 5 2 4 0 6 
22	12	10	1 3 0 5 2 4 7 6 
17	13	4	1 3 7 5 2 4 0 6 
16	14	2	1 3 7 5 2 4 6 0 
19	15	4	1 3 7 5 2 4 0 6 
18	16	2	1 3 7 5 2 4 6 0 
21	13	8	1 3 5 0 2 4 7 6 
18	16	2	1 3 5 7 2 4 0 6 
